SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Coastal Karnataka,1901,3056.9,2.4,144.7,2666.6,243.3,,28.96,23.27,31.46,31.27,27.25
Coastal Karnataka,1902,3699.2,3.5,69.7,3262.6,363.5,,29.22,25.75,31.76,31.09,26.49
Coastal Karnataka,1903,3317.4,0.7,206.9,2840.1,269.6,,28.47,24.24,30.71,30.92,26.26
Coastal Karnataka,1904,3141.1,2.4,121.7,2889.1,127.9,,28.49,23.62,30.95,30.66,26.4
Coastal Karnataka,1905,2652.3,0.2,89.4,2304.3,258.4,,28.3,22.25,30.0,31.33,26.57
Coastal Karnataka,1906,2836.0,23.0,30.3,2575.2,207.5,,28.73,23.03,31.11,30.86,27.29
Coastal Karnataka,1907,3535.2,7.0,113.0,3261.9,153.2,,28.65,24.23,29.92,30.8,27.36
Coastal Karnataka,1908,3655.5,3.1,85.0,3508.1,59.3,,28.83,24.42,31.43,30.72,26.64
Coastal Karnataka,1909,3172.9,5.0,210.1,2838.1,119.8,,28.38,23.52,31.02,30.33,26.88
Coastal Karnataka,1910,3020.8,0.0,51.4,2724.7,244.8,,28.53,24.2,31.14,30.48,26.2
Coastal Karnataka,1911,2522.3,0.0,74.2,2228.2,219.9,,28.62,23.9,30.7,31.14,26.31
Coastal Karnataka,1912,3395.9,1.1,94.4,2999.1,301.4,,28.95,24.88,31.1,31.15,26.57
Coastal Karnataka,1913,2836.3,0.4,85.3,2406.3,344.3,,28.67,24.25,30.89,30.92,26.42
Coastal Karnataka,1914,3872.7,0.0,44.1,3563.4,265.2,,28.66,24.59,30.73,30.84,26.4
Coastal Karnataka,1915,2648.7,2.3,126.0,2250.9,269.4,,28.94,23.22,31.06,31.51,27.19
Coastal Karnataka,1916,3467.9,0.0,114.3,2889.7,463.9,,28.82,24.57,31.88,30.52,26.31
Coastal Karnataka,1917,3424.1,29.8,70.0,2939.9,384.4,,28.11,24.52,30.06,30.24,25.74
Coastal Karnataka,1918,2510.9,3.7,714.9,1544.7,247.7,,28.66,23.57,30.68,31.1,26.78
Coastal Karnataka,1919,2918.1,0.0,76.8,2471.8,369.6,,28.66,23.71,31.17,30.8,26.6
Coastal Karnataka,1920,2789.2,2.1,102.0,2519.0,166.1,,28.76,23.64,30.4,31.08,27.45
Coastal Karnataka,1921,3007.4,13.0,84.5,2740.0,170.0,,28.86,23.91,32.05,30.81,26.43
Coastal Karnataka,1922,3332.6,9.7,168.2,2975.6,179.1,,28.8,24.43,31.21,30.9,26.38
Coastal Karnataka,1923,3681.1,1.0,94.7,3528.5,56.9,,28.74,23.73,31.4,30.98,26.43
Coastal Karnataka,1924,3528.9,0.0,108.0,3290.5,130.4,,28.8,23.94,31.44,30.96,26.49
Coastal Karnataka,1925,3581.3,0.0,214.6,3108.7,258.1,,28.67,23.57,31.47,30.67,26.59
Coastal Karnataka,1926,2956.4,14.3,22.6,2771.7,147.7,,28.7,24.73,30.21,31.14,26.61
Coastal Karnataka,1927,3216.4,0.0,102.2,2852.3,261.9,,28.59,23.76,30.72,30.8,26.73
Coastal Karnataka,1928,3339.6,29.4,75.0,2897.4,337.7,,28.98,24.21,31.51,31.14,26.74
Coastal Karnataka,1929,3663.6,2.2,222.8,3095.0,343.5,,28.76,23.53,31.72,31.03,26.28
Coastal Karnataka,1930,2913.0,1.4,190.8,2439.7,281.0,,28.65,23.2,30.94,30.98,26.9
Coastal Karnataka,1931,3842.4,0.0,120.9,3374.8,346.7,,29.15,24.55,31.71,31.16,26.97
Coastal Karnataka,1932,3423.4,0.0,280.8,2661.0,481.6,,29.09,24.51,31.17,31.25,27.18
Coastal Karnataka,1933,4139.5,0.1,426.3,3342.4,370.7,,28.49,24.13,30.43,30.41,26.92
Coastal Karnataka,1934,3011.8,8.0,41.5,2785.3,176.9,,29.03,24.53,31.28,31.22,26.94
Coastal Karnataka,1935,2886.0,2.0,37.1,2580.2,266.8,,28.76,23.41,31.15,30.85,26.88
Coastal Karnataka,1936,3324.7,0.9,176.6,2815.1,332.1,,28.71,24.11,31.17,30.68,26.69
Coastal Karnataka,1937,3314.2,0.0,146.1,2912.3,255.8,,28.7,24.13,30.84,31.22,26.26
Coastal Karnataka,1938,3150.9,0.0,197.0,2779.4,174.5,,28.7,23.31,31.74,30.59,26.71
Coastal Karnataka,1939,2744.2,0.0,49.7,2388.2,306.2,,28.85,24.25,30.76,31.06,27.05
Coastal Karnataka,1940,3723.9,0.1,158.0,3217.3,348.5,,28.88,24.46,30.66,30.93,27.24
Coastal Karnataka,1941,2515.1,5.3,84.1,2246.0,179.7,,29.46,24.37,32.12,31.37,27.62
Coastal Karnataka,1942,3502.6,1.7,149.9,3172.8,178.1,,28.98,24.03,31.8,30.99,27.23
Coastal Karnataka,1943,3577.2,24.1,463.6,2712.2,377.2,,28.8,24.03,30.8,30.83,27.33
Coastal Karnataka,1944,2984.5,0.7,128.0,2494.5,361.3,,28.89,23.62,31.03,31.25,27.16
Coastal Karnataka,1945,3079.3,2.6,44.1,2908.7,123.8,,28.97,23.86,31.19,31.48,26.82
Coastal Karnataka,1946,4041.4,1.5,126.4,3546.3,367.2,,29.37,25.49,31.5,31.23,27.3
Coastal Karnataka,1947,3338.0,10.9,77.7,3167.3,82.0,,28.84,23.99,31.78,31.2,26.7
Coastal Karnataka,1948,3626.6,16.5,130.1,3226.2,253.7,,28.73,23.62,31.27,30.84,26.77
Coastal Karnataka,1949,3362.4,3.3,306.3,2872.1,180.8,,28.89,24.49,31.27,30.88,26.79
Coastal Karnataka,1950,3766.1,1.0,93.4,3481.0,190.8,,28.47,24.02,30.72,30.48,26.58
Coastal Karnataka,1951,3124.3,0.0,127.0,2733.6,263.6,,29.09,24.16,30.67,31.13,27.77
Coastal Karnataka,1952,2896.6,0.5,120.2,2414.8,361.1,,29.16,25.17,31.13,31.11,27.26
Coastal Karnataka,1953,3463.3,0.3,56.8,3089.9,316.3,,29.43,24.71,32.19,31.12,27.56
Coastal Karnataka,1954,3821.5,0.5,172.5,3502.2,146.2,,28.92,24.2,31.89,30.9,26.46
Coastal Karnataka,1955,3552.5,0.3,394.9,2762.4,394.9,,28.76,24.9,30.88,30.72,26.59
Coastal Karnataka,1956,3856.6,0.8,492.1,2944.5,419.1,,28.63,24.4,31.53,30.25,26.37
Coastal Karnataka,1957,3174.8,0.0,178.1,2658.7,338.0,,28.64,23.87,30.42,31.07,26.82
Coastal Karnataka,1958,3687.4,0.6,233.1,3287.9,165.9,,29.34,25.43,31.74,31.23,27.01
Coastal Karnataka,1959,4330.8,0.0,234.8,3947.1,148.9,,29.02,24.05,31.71,30.99,27.03
Coastal Karnataka,1960,3504.2,0.0,442.9,2804.7,256.6,,29.31,25.49,31.17,31.29,27.36
Coastal Karnataka,1961,5553.9,0.0,683.6,4536.9,333.4,,28.72,24.18,31.47,30.75,26.3
Coastal Karnataka,1962,4017.7,3.6,391.1,3207.7,415.3,,28.89,24.24,31.31,31.08,26.65
Coastal Karnataka,1963,3171.3,1.8,153.0,2764.7,251.8,,29.04,24.73,30.94,31.28,27.0
Coastal Karnataka,1964,3140.5,0.0,31.8,2837.8,271.0,,29.09,24.29,31.89,30.82,27.2
Coastal Karnataka,1965,2831.1,2.5,49.4,2574.2,205.0,,29.16,24.67,30.73,31.37,27.61
Coastal Karnataka,1966,2976.6,3.7,208.6,2278.2,486.2,,29.41,25.54,31.69,31.24,27.26
Coastal Karnataka,1967,3181.8,2.0,105.3,2937.8,136.8,,29.14,25.31,31.04,31.32,26.9
Coastal Karnataka,1968,3461.0,2.0,69.1,3138.3,251.5,,29.07,23.68,31.24,31.55,27.19
Coastal Karnataka,1969,3342.9,0.0,95.8,2989.6,257.5,,29.61,24.99,32.02,31.55,27.71
Coastal Karnataka,1970,4042.0,0.0,293.3,3562.2,186.5,,29.47,25.19,32.03,31.16,27.5
Coastal Karnataka,1971,3235.2,0.1,292.2,2878.4,64.6,,29.15,24.99,31.58,30.91,27.17
Coastal Karnataka,1972,2856.9,0.5,170.5,2439.8,246.1,,29.31,24.49,31.49,31.67,27.21
Coastal Karnataka,1973,3126.0,0.0,98.3,2842.0,185.7,,29.44,25.35,32.19,31.28,26.97
Coastal Karnataka,1974,3433.5,0.0,199.4,3044.1,190.0,,29.26,24.34,31.92,31.39,27.03
Coastal Karnataka,1975,4300.0,0.3,118.0,3919.1,262.6,,28.89,24.12,31.62,30.66,26.99
Coastal Karnataka,1976,2933.9,0.0,64.2,2670.6,199.1,,29.27,24.61,31.45,31.09,27.76
Coastal Karnataka,1977,3379.0,1.9,144.2,2853.6,379.3,,29.41,25.15,31.65,31.22,27.59
Coastal Karnataka,1978,3862.9,0.8,263.4,3387.2,211.5,,29.23,24.36,31.57,31.11,27.64
Coastal Karnataka,1979,2823.4,1.0,24.0,2556.0,242.4,,29.63,24.99,31.7,31.87,27.67
Coastal Karnataka,1980,3762.0,0.0,136.5,3455.2,170.3,,29.58,25.21,32.2,31.36,27.51
Coastal Karnataka,1981,3848.6,0.7,76.9,3591.0,179.9,,29.32,24.9,31.64,31.34,27.24
Coastal Karnataka,1982,4090.9,0.3,91.1,3798.2,201.2,,29.12,24.51,30.79,31.55,27.26
Coastal Karnataka,1983,3942.2,0.0,24.4,3701.5,216.4,,29.11,24.62,30.84,31.48,27.23
Coastal Karnataka,1984,3359.0,10.3,104.9,3004.6,239.2,,29.28,24.11,32.12,31.09,27.46
Coastal Karnataka,1985,3015.7,5.3,91.4,2621.3,297.8,,29.61,25.29,32.51,31.28,27.35
Coastal Karnataka,1986,2934.5,0.4,32.0,2685.0,217.1,,29.33,24.64,31.58,31.44,27.4
Coastal Karnataka,1987,2716.2,0.0,65.4,2329.0,321.8,,29.72,25.07,31.37,32.24,27.82
Coastal Karnataka,1988,3466.6,0.2,60.5,3269.5,136.4,,29.55,25.39,31.75,31.34,27.76
Coastal Karnataka,1989,3215.6,0.0,84.4,2960.9,170.3,,29.18,24.51,31.35,31.11,27.57
Coastal Karnataka,1990,4120.4,1.7,348.4,3460.2,310.1,,29.14,25.0,30.84,31.18,27.5
Coastal Karnataka,1991,3719.7,0.1,143.9,3417.5,158.1,,29.32,24.74,31.46,31.45,27.4
Coastal Karnataka,1992,3882.2,0.0,94.2,3412.6,375.4,,29.23,24.6,31.32,31.28,27.49
Coastal Karnataka,1993,3481.3,0.1,96.7,2944.8,439.8,,29.55,25.31,31.61,31.47,27.74
Coastal Karnataka,1994,4636.3,3.5,123.2,4144.4,365.2,,29.46,25.09,31.85,31.3,27.52
Coastal Karnataka,1995,3357.8,3.7,159.6,2945.0,249.5,,30.18,25.68,32.4,32.01,28.52
Coastal Karnataka,1996,3188.9,0.3,46.9,2816.8,324.9,,29.58,26.3,32.07,31.19,27.29
Coastal Karnataka,1997,3953.6,0.7,59.5,3575.8,317.5,,29.05,24.63,31.26,31.77,26.65
Coastal Karnataka,1998,3707.9,0.0,80.0,3265.1,362.9,,29.7,24.96,31.89,31.75,27.83
Coastal Karnataka,1999,3779.9,0.4,343.0,3084.9,351.5,,29.81,25.16,32.45,31.55,27.95
Coastal Karnataka,2000,3351.3,15.5,243.0,2903.3,189.6,196.0,29.75,24.82,32.22,31.25,28.53
Coastal Karnataka,2001,3111.6,1.0,228.7,2663.1,218.9,220.0,29.99,25.88,32.61,31.62,28.13
Coastal Karnataka,2002,2793.1,11.8,195.3,2205.0,381.0,428.0,30.23,25.37,33.06,32.02,28.36
Coastal Karnataka,2003,3071.9,3.8,55.9,2817.9,194.4,1226.0,29.75,25.32,32.05,31.72,27.7
Coastal Karnataka,2004,3070.0,0.1,360.3,2552.8,156.8,291.0,29.79,25.47,32.69,31.42,27.65
Coastal Karnataka,2005,3470.9,0.6,117.5,3147.2,205.6,587.0,29.6,24.96,31.81,31.84,27.5
Coastal Karnataka,2006,3837.3,1.0,366.3,3160.6,309.4,109.0,30.06,27.44,32.08,31.39,27.78
Coastal Karnataka,2007,3860.2,0.0,101.9,3567.2,191.1,230.0,29.84,25.73,32.32,31.4,28.03
Coastal Karnataka,2008,3206.4,14.8,259.0,2808.1,124.4,339.0,29.64,24.72,32.11,31.25,28.29
Coastal Karnataka,2009,3862.0,0.4,160.4,3246.0,455.2,1764.0,30.3,26.51,32.57,32.24,27.96
Coastal Karnataka,2010,3686.8,14.8,145.9,2988.9,537.2,2285.0,30.13,25.96,33.47,31.43,27.78
Coastal Karnataka,2011,3908.6,8.6,124.1,3505.4,270.5,,29.82,25.33,32.07,31.55,28.23
Coastal Karnataka,2012,,,104.9,2815.1,186.7,,29.81,25.03,32.33,31.77,27.88
Coastal Karnataka,2013,4229.4,21.9,147.9,3727.6,332.0,6408.0,29.81,25.58,32.58,31.33,27.83
Coastal Karnataka,2014,3684.4,0.3,224.3,3162.6,297.2,3358.0,29.72,24.9,31.82,32.0,27.81
Coastal Karnataka,2015,3106.0,2.4,254.8,2501.8,347.1,5077.0,29.9,25.74,31.68,31.87,28.27
Coastal Karnataka,2016,2619.7,0.5,98.3,2423.5,97.5,,31.63,28.33,34.57,32.28,30.03
Coastal Karnataka,2017,2947.6,1.1,141.0,2593.2,212.3,,,,,,
